Iteration,Agent0_Mean_Reward,Agent1_Mean_Reward,Agent2_Mean_Reward,Agent3_Mean_Reward,Agent4_Mean_Reward,Agent5_Mean_Reward,Agent6_Mean_Reward,Agent7_Mean_Reward,Agent8_Mean_Reward
0,4872.8249999999325,4849.249999999929,4835.02499999992,4806.899999999917,4781.974999999906,4774.6499999999105,4769.274999999905,4769.399999999896,4736.024999999899
1,4871.137499999933,4839.774999999929,4832.174999999921,4801.6624999999185,4784.037499999906,4777.199999999909,4771.662499999902,4760.149999999899,4741.9124999998985
2,4865.174999999935,4839.408333333263,4834.258333333254,4804.7666666665855,4781.299999999906,4779.174999999908,4774.249999999904,4757.108333333233,4741.474999999899
3,4866.449999999935,4837.762499999928,4829.11249999992,4805.643749999917,4783.237499999906,4776.606249999909,4770.599999999904,4758.549999999899,4741.893749999899
4,4865.919999999936,4839.334999999928,4827.6849999999195,4803.3399999999165,4786.349999999906,4777.984999999909,4770.954999999905,4757.759999999898,4743.5699999999
5,4865.4374999999345,4841.162499999927,4826.520833333253,4801.295833333251,4785.304166666572,4778.537499999909,4769.708333333238,4757.570833333232,4744.399999999899
6,4865.146428571362,4840.507142857071,4824.028571428492,4801.764285714205,4786.396428571335,4776.017857142767,4768.317857142763,4756.178571428471,4743.089285714185
7,4865.356249999935,4840.856249999928,4822.481249999921,4800.412499999918,4788.293749999905,4777.79374999991,4766.937499999905,4755.621874999901,4742.5999999998985
8,4867.555555555491,4841.494444444372,4822.566666666588,4800.469444444361,4789.449999999905,4775.819444444354,4768.419444444349,4754.524999999901,4743.5166666665655
9,4866.954999999934,4841.552499999927,4823.24749999992,4801.437499999917,4788.777499999905,4775.28999999991,4766.667499999906,4754.4849999999005,4743.799999999898
10,4865.804545454481,4842.986363636292,4823.1159090908295,4800.484090909009,4788.386363636268,4776.261363636274,4767.886363636269,4755.097727272628,4743.4636363635345
11,4865.652083333269,4842.73333333326,4823.004166666587,4800.306249999917,4787.995833333239,4776.81249999991,4767.929166666571,4755.204166666567,4744.983333333232
12,4863.769230769165,4842.586538461465,4822.963461538382,4800.359615384532,4787.396153846059,4776.626923076834,4768.138461538367,4755.1499999999005,4745.36346153836
13,4864.794642857078,4842.296428571355,4823.319642857064,4801.0160714284875,4786.958928571335,4776.780357142768,4768.594642857048,4755.319642857044,4745.0607142856115
14,4865.303333333268,4842.378333333259,4823.086666666587,4800.426666666583,4786.354999999906,4776.981666666577,4768.533333333237,4755.886666666568,4745.428333333231
15,4865.339062499936,4842.492187499927,4823.57343749992,4800.332812499916,4787.185937499904,4776.92031249991,4769.1249999999045,4755.564062499901,4745.4281249998985
16,4865.251470588171,4842.11176470581,4823.829411764626,4800.4617647057985,4786.7323529410805,4776.79999999991,4768.945588235199,4756.998529411665,4745.135294117546
17,4865.412499999936,4842.019444444372,4823.320833333254,4800.163888888806,4786.1152777776815,4776.368055555466,4767.915277777683,4756.776388888789,4745.13611111101
18,4864.911842105199,4840.988157894663,4823.7828947367625,4799.910526315705,4785.932894736745,4776.1894736841205,4767.849999999905,4757.630263157795,4744.7013157893725
19,4864.0137499999355,4840.714999999928,4823.6137499999195,4799.7549999999155,4785.909999999904,4776.15624999991,4767.714999999905,4757.673749999902,4744.182499999899
