name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,6.116,13.1519,0,34,4.3844,7.9814
codeco_pod2,13.4682,6.8277,7,33,7.4108,4.0363
codeco_pod3,10.6566,18.6764,18,75,7.9809,14.059
codeco_pod4,9.6833,1.573,21,70,8.9118,1.3664
codeco_pod5,8.3996,5.9309,27,72,6.0508,5.1726
codeco_pod6,10.9888,13.0602,39,37,9.2385,11.2504
codeco_pod7,9.2641,9.7209,43,45,7.0034,6.9208
codeco_pod8,3.7266,17.0628,59,45,2.8205,10.6418
codeco_pod9,7.6732,19.8963,79,50,4.1927,14.0057
codeco_pod10,9.9045,12.4103,87,16,8.4206,6.3563
codeco_pod11,1.5358,1.593,99,47,1.2864,1.1535
codeco_pod12,9.4937,15.2304,108,89,8.2742,14.4641
codeco_pod13,12.3891,12.7654,122,51,9.6079,9.3389
codeco_pod14,3.2454,3.9834,141,43,2.3883,2.6954
codeco_pod15,8.3004,3.9779,150,74,6.0796,3.912
codeco_pod16,13.0241,5.5785,160,5,8.038,5.2105
codeco_pod17,4.8052,9.1514,170,59,2.7454,6.2782
codeco_pod18,9.2763,16.8636,180,19,5.3622,16.2094
codeco_pod19,4.2292,19.1155,190,88,2.5545,15.8647
codeco_pod20,14.6623,4.2958,196,86,9.8514,4.1972
codeco_pod21,14.3075,17.0072,205,39,13.3043,14.5648
codeco_pod22,9.0844,12.2169,220,50,8.0889,10.5095
codeco_pod23,14.6925,7.8662,239,25,11.4481,7.4338
codeco_pod24,12.8163,17.1539,249,50,11.0111,16.5612
codeco_pod25,9.5249,9.3426,257,99,6.084,6.4342
codeco_pod26,3.062,14.3361,270,75,2.0187,13.2351
codeco_pod27,14.3287,5.55,278,58,12.4876,4.2425
codeco_pod28,7.5302,9.5492,293,75,4.8041,9.305
codeco_pod29,10.6279,2.844,304,33,5.426,2.3685
codeco_pod30,10.9139,8.5859,320,69,5.863,4.6394
codeco_pod31,1.149,9.1929,338,45,0.7344,8.1788
codeco_pod32,9.7201,9.1156,345,97,5.3534,8.905
codeco_pod33,8.8328,6.143,360,27,6.6207,3.5453
codeco_pod34,14.3087,17.5224,361,13,7.8423,16.0954
codeco_pod35,10.3844,7.0794,362,53,6.2643,4.5142
codeco_pod36,7.8088,6.2501,364,64,5.5487,3.7577
codeco_pod37,10.0525,3.9377,374,46,9.7092,2.2502
codeco_pod38,13.2763,1.331,386,69,11.9181,0.692
codeco_pod39,9.7786,3.587,392,7,7.6277,2.5471
codeco_pod40,8.6474,14.1832,394,49,7.3415,8.7052
codeco_pod41,2.6505,6.2266,399,94,2.3317,5.5711
codeco_pod42,12.074,3.7312,402,73,10.9963,2.7408
codeco_pod43,9.1472,14.0076,417,85,7.356,9.2392
codeco_pod44,5.0796,8.6248,434,85,3.0019,5.8262
codeco_pod45,8.7183,3.3823,443,88,6.3529,2.4053
codeco_pod46,13.978,19.7845,450,40,13.1925,16.8473
codeco_pod47,7.5615,7.1083,451,86,4.5358,6.5396
codeco_pod48,5.3441,18.0391,457,79,4.4293,11.9988
codeco_pod49,12.9135,5.5004,472,5,10.7621,3.8445
codeco_pod50,14.3497,1.1226,477,31,9.4593,1.0219
codeco_pod51,10.6611,13.22,496,28,9.5222,9.5474
codeco_pod52,8.2992,6.8258,497,78,5.5553,4.2729
codeco_pod53,13.0158,12.4752,510,19,8.7846,7.7137
codeco_pod54,1.6764,5.8639,514,100,1.6307,5.3869
codeco_pod55,10.7626,11.7959,521,52,8.455,6.3411
codeco_pod56,11.2909,15.537,539,79,5.9965,10.3091
codeco_pod57,3.9805,12.1258,541,16,1.994,11.9513
codeco_pod58,5.0066,4.2027,545,29,4.3151,2.5431
codeco_pod59,12.3915,19.7847,555,52,8.5624,15.0541
codeco_pod60,10.9555,13.4741,564,92,6.4675,12.6219
codeco_pod61,4.2973,17.7755,576,56,3.4599,16.152
codeco_pod62,3.0454,13.8208,586,67,1.7095,9.4995
codeco_pod63,3.4963,11.1686,600,37,2.6318,7.8771
codeco_pod64,11.2678,14.384,604,18,8.9034,8.9229
codeco_pod65,11.3858,3.5317,616,72,6.4709,2.8382
codeco_pod66,2.808,17.6945,630,43,2.7615,16.1831
codeco_pod67,1.6514,10.8902,634,86,0.8482,10.017
codeco_pod68,14.3048,5.9418,653,23,12.3752,5.5926
codeco_pod69,7.0256,3.2009,672,21,3.5807,2.3805
codeco_pod70,6.3448,9.5255,683,12,3.4993,7.8364
codeco_pod71,14.6743,3.1238,693,7,8.6075,2.9335
codeco_pod72,3.8234,13.2246,697,76,3.2426,11.9915
codeco_pod73,10.7877,4.8315,715,24,9.5755,3.6021
codeco_pod74,7.3448,9.3883,727,40,6.7343,5.2109
codeco_pod75,2.1858,7.2616,731,69,1.4637,4.2905
codeco_pod76,8.4061,11.3713,750,82,7.2769,10.1348
codeco_pod77,12.9114,11.5968,769,32,7.1151,6.1635
codeco_pod78,13.0645,6.1585,786,32,7.5538,3.5327
codeco_pod79,3.7276,7.1724,797,63,2.8989,4.1381
codeco_pod80,9.999,2.6245,799,68,5.8614,2.174
codeco_pod81,3.732,7.646,802,51,1.9432,5.0062
codeco_pod82,6.7968,12.4711,803,12,5.5632,12.0069
codeco_pod83,4.9758,12.4114,811,97,2.7183,8.7195
codeco_pod84,1.4018,16.82,813,31,0.8109,9.6561
codeco_pod85,3.2872,5.395,830,21,2.9142,4.5646
codeco_pod86,14.6656,19.6355,832,59,8.4353,12.7415
codeco_pod87,13.0633,3.8574,837,30,11.7988,2.6624
codeco_pod88,14.2263,15.8346,838,8,10.4488,12.4573
codeco_pod89,10.616,18.5186,842,60,8.1596,14.9853
codeco_pod90,8.5411,19.5169,861,72,5.7576,12.3861
codeco_pod91,6.0749,17.5594,863,31,3.9076,12.283
codeco_pod92,10.5705,17.0841,877,64,8.3027,15.857
codeco_pod93,6.8444,12.5608,892,13,5.5581,10.6221
codeco_pod94,1.2816,17.6144,896,16,0.7355,14.8552
codeco_pod95,2.0257,18.5999,903,61,1.8463,9.5182
codeco_pod96,8.1778,1.4887,912,7,6.0661,0.7788
codeco_pod97,1.8956,16.7443,929,18,1.5836,13.0236
codeco_pod98,10.1813,1.0102,932,73,5.4742,0.6742
