name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,3.8333,19.059,0,21,3.5318,11.4083
codeco_pod2,7.1692,9.1189,17,46,4.1202,7.8334
codeco_pod3,10.5912,1.8131,23,11,7.093,1.1738
codeco_pod4,7.2077,18.6694,26,77,7.0203,16.9245
codeco_pod5,8.8658,3.3142,30,17,8.571,2.334
codeco_pod6,12.1755,3.6229,47,39,9.3706,2.871
codeco_pod7,1.486,2.2151,62,6,1.1664,1.52
codeco_pod8,5.9178,18.9251,76,76,4.5362,14.9607
codeco_pod9,2.0055,1.4304,91,90,1.4097,0.9106
codeco_pod10,14.3384,7.8688,94,49,9.1529,6.9233
codeco_pod11,3.0346,16.8693,103,56,2.2357,8.5306
codeco_pod12,6.5631,17.1821,122,74,3.6622,8.8031
codeco_pod13,1.4338,8.0196,130,61,0.8523,4.6186
codeco_pod14,2.8112,7.4263,141,99,1.7985,4.4042
codeco_pod15,1.2901,18.7363,144,33,0.6635,10.647
codeco_pod16,8.8341,14.5981,146,46,7.4771,13.352
codeco_pod17,13.5003,12.6486,166,9,8.8331,9.6096
codeco_pod18,13.6796,19.6322,168,80,9.8361,16.8377
codeco_pod19,1.7401,10.956,176,95,1.0038,9.6882
codeco_pod20,4.5459,15.9362,177,35,3.1184,10.6826
codeco_pod21,13.6006,10.3199,195,16,10.0693,10.103
codeco_pod22,9.2514,13.8452,200,24,8.2069,8.061
codeco_pod23,4.0044,9.2611,208,13,3.5309,8.2924
codeco_pod24,9.2754,10.674,213,30,5.8951,9.7108
codeco_pod25,14.9656,17.5255,214,30,10.9747,13.0899
codeco_pod26,14.8082,10.4841,219,28,10.8257,8.8374
